Timestamp,Keterangan Pintu 1,Keterangan Pintu 2,Akses Ruangan
2023-09-06 12:40:28.756534,Pintu 1 tertutup,Pintu 2 tertutup,0
2023-09-06 12:40:30.497752,Pintu 1 tertutup,Pintu 2 tertutup,0
